Chapter,Character,N,A,I,C,DC,DN,Score
25,The Gardiners,0,0,0,0,0,1,1
25,the Bingleys,0,0,0,0,0,1,1
25,the Philipses,0,0,0,0,0,1,1
26,Elizabeth,21,2,17,6,3,16,65
26,Jane,7,2,21,5,0,7,42
26,Charlotte,5,1,6,7,0,5,24
26,Mrs. Gardiner,3,1,9,4,0,3,20
26,Caroline,4,1,0,0,3,1,9
26,Mr. Wickham,4,1,0,0,2,1,8
26,Lady Catherine,3,0,1,0,1,2,7
26,Miss Bingley,4,0,0,0,1,2,7
26,Mr. Collins,2,2,0,0,0,2,6
26,Mr. Darcy,3,0,0,0,2,1,6
26,Maria,2,0,0,0,2,0,4
26,Miss Darcy,2,0,0,0,2,0,4
26,Miss Lucas,1,2,0,0,0,1,4
26,Mrs. Bennet,1,0,1,1,0,1,4
26,Miss King,1,0,0,0,1,0,2
26,Mr. Bingley,1,0,0,0,0,1,2
26,Hunsford,0,0,0,0,0,1,1
26,Longbourn,0,0,0,0,0,1,1
26,Lydia,0,0,0,0,1,0,1
26,Mrs. Hurst,0,0,0,0,1,0,1
26,Rosings,0,0,0,0,0,1,1
26,Sir William,0,0,0,0,1,0,1
26,_,0,0,0,0,1,0,1
26,the Bingleys,0,0,0,0,0,1,1
26,the Gardiners,0,0,0,0,0,1,1
26,the Lucases,0,0,0,0,0,1,1
27,Elizabeth,10,2,7,3,3,7,32
27,Mrs. Gardiner,3,0,3,14,0,3,23
27,Charlotte,3,1,3,0,0,3,10
27,Jane,4,0,0,0,0,4,8
27,Sir William,3,0,1,0,0,3,7
27,Miss King,2,0,0,0,2,0,4
27,Mr. Wickham,2,0,0,0,0,2,4
27,Absence,0,0,0,0,0,1,1
27,February,0,0,0,0,0,1,1
27,Lady Catherine de Bourgh,0,0,0,0,0,1,1
27,Maria,0,0,0,0,0,1,1
27,Miss Bingley,0,0,0,0,0,1,1
27,Mr. Collins,0,0,0,0,0,1,1
27,Mr. Gardiner,0,0,0,0,0,1,1
28,Elizabeth,14,2,12,5,2,12,47
28,Charlotte,14,4,0,2,3,11,34
28,Mr. Collins,9,5,3,2,0,9,28
28,Maria,4,0,0,4,1,3,12
28,Lady Catherine,5,0,1,0,4,1,11
28,Miss De Bourgh,3,2,2,0,2,1,10
28,Sir William,2,1,0,0,0,2,5
28,Mrs. Collins,1,0,1,0,0,1,3
28,Hertfordshire,0,0,0,0,0,1,1
28,Mrs. Jenkinson,0,0,0,0,1,0,1
29,Lady Catherine,20,1,11,16,2,17,67
29,Elizabeth,13,3,24,8,0,13,61
29,Mr. Collins,10,2,8,3,1,9,33
29,Sir William,7,0,2,2,0,7,18
29,Mrs. Collins,6,0,1,0,1,5,13
29,Mrs. Jenkinson,6,0,0,0,1,5,12
29,Maria,5,0,1,0,0,5,11
29,Miss de Bourgh,5,0,1,0,0,5,11
29,Charlotte,4,0,0,0,0,4,8
29,Miss Bennet,2,0,0,0,2,0,4
29,Sir Lewis de Bourgh,2,0,0,0,1,1,4
29,"Elizabeth,--",1,0,0,0,0,1,2
29,Lady Metcalfe,1,0,0,0,1,0,2
29,Mr. Wickham,1,0,0,0,0,1,2
29,The Miss Webbs,1,0,0,0,1,0,2
29,Miss Pope,0,0,0,0,1,0,1
29,Mr.,0,0,0,0,0,1,1
29,Mr. Darcy,0,0,0,0,0,1,1
30,Elizabeth,10,2,13,1,1,9,36
30,Mr. Collins,7,9,2,0,0,7,25
30,Charlotte,5,0,2,1,0,5,13
30,Mr. Darcy,4,3,2,0,1,3,13
30,Lady Catherine,4,0,0,0,0,4,8
30,Mrs. Collins,3,0,0,0,0,3,6
30,Sir William,3,0,0,0,0,3,6
30,Colonel Fitzwilliam,1,1,0,0,0,1,3
30,Miss De Bourgh,1,1,0,0,0,1,3
30,Jane,0,0,0,0,0,1,1
30,Lord ----,0,0,0,0,0,1,1
30,Miss Bennet,0,0,0,0,0,1,1
30,Miss Bingley,0,0,0,0,0,1,1
30,Miss Lucas,0,0,0,0,0,1,1
30,the Bingleys,0,0,0,0,0,1,1
30,the Collinses,0,0,0,0,0,1,1
31,Mr. Darcy,13,2,12,10,4,9,50
31,Elizabeth,10,2,12,7,0,10,41
31,Colonel Fitzwilliam,10,1,3,7,2,8,31
31,Lady Catherine,8,2,1,3,0,8,22
31,Miss Bennet,3,1,1,0,3,0,8
31,Anne,3,1,1,0,2,0,7
31,Ladyship,1,0,3,2,0,1,7
31,Mrs. Collins,2,0,0,0,1,1,4
31,Miss Bingley,1,0,0,0,0,1,2
31,"Darcy,--",0,0,0,0,0,1,1
31,Georgiana,0,0,0,0,1,0,1
31,Miss De Bourgh,0,0,0,0,0,1,1
31,Mrs. Jenkinson,0,0,0,0,1,0,1
32,Elizabeth,12,3,18,7,1,11,52
32,Mr. Darcy,8,7,6,11,1,7,40
32,Mrs. Collins,5,1,8,0,2,3,19
32,Colonel Fitzwilliam,4,3,2,0,0,4,13
32,Charlotte,3,0,0,2,0,3,8
32,Mr. Collins,3,1,1,0,3,0,8
32,Mr. Bingley,3,0,1,0,3,0,7
32,Lady Catherine,3,0,0,0,1,2,6
32,Jane,2,0,0,0,0,2,4
32,George Wickham,0,0,0,0,0,1,1
32,Kent,0,0,0,0,1,0,1
32,Maria,0,0,0,0,0,1,1
32,Miss Bennet,0,0,0,0,0,1,1
32,Mr.,0,0,0,0,1,0,1
32,Netherfield,0,0,0,0,0,1,1
33,Elizabeth,4,7,21,18,0,4,54
33,Mr. Darcy,11,5,8,2,5,6,37
33,Colonel Fitzwilliam,8,0,1,12,0,8,29
33,Darcy,7,0,1,0,6,1,15
33,Bingley,7,0,1,0,3,2,13
33,Jane,5,0,0,0,1,4,10
33,Mrs. Collins,2,0,2,0,0,2,6
33,Miss Bingley,2,0,0,0,1,1,4
33,Mr. Collins,1,0,1,0,0,1,3
33,Lady Catherine,1,0,0,0,0,1,2
33,Mr.,0,0,0,0,0,1,1
33,Mrs. Hurst,0,0,0,0,1,0,1
34,Elizabeth,9,4,22,13,0,9,57
34,Mr. Darcy,11,6,20,9,1,10,57
34,Jane,3,0,0,0,0,3,6
34,Colonel Fitzwilliam,2,0,0,0,0,2,4
34,Mr. Wickham,2,0,0,0,1,1,4
34,Charlotte,0,0,0,0,0,1,1
34,Lady Catherine,0,0,0,0,0,1,1
35,Elizabeth,2,12,38,4,0,2,58
35,Mr. Wickham,11,1,6,0,1,0,19
35,Mr. Darcy,4,0,0,0,1,3,8
35,Bingley,4,0,1,0,1,0,6
35,Georgiana,2,0,1,0,1,0,4
35,Colonel Fitzwilliam,2,0,0,0,1,0,3
35,Mrs. Younge,2,0,0,0,1,0,3
35,Miss Bingley,1,0,0,0,1,0,2
35,Detection,0,0,0,0,1,0,1
35,FITZWILLIAM DARCY,0,0,0,0,1,0,1
35,George Wickham,0,0,0,0,1,0,1
35,God,0,0,0,0,1,0,1
35,Miss Bennet,0,0,0,0,1,0,1
35,Sir William Lucas,0,0,0,0,1,0,1
36,Elizabeth,2,7,41,3,0,2,55
36,Mr. Darcy,13,4,1,0,0,13,31
36,Wickham,9,0,1,0,0,9,19
36,Jane,6,0,0,0,0,6,12
36,Colonel Fitzwilliam,4,1,0,0,0,4,9
36,Mr. Bingley,3,0,0,0,0,3,6
36,Miss King,1,0,0,0,0,1,2
36,Charlotte,0,0,0,0,0,1,1
36,Miss Darcy,0,0,0,0,0,1,1
36,Mr. Philips,0,0,0,0,0,1,1
37,Lady Catherine,9,6,14,9,0,9,47
37,Elizabeth,4,0,5,4,0,4,17
37,Mrs. Collins,4,2,1,0,3,0,10
37,Jane,4,0,1,0,0,4,9
37,Darcy,2,0,2,0,2,0,6
37,Lydia,3,0,0,0,0,3,6
37,Mr. Darcy,3,0,0,0,1,2,6
37,Maria,1,2,1,0,0,1,5
37,Mr. Collins,2,1,0,0,0,2,5
37,Rosings,2,0,0,0,1,1,4
37,Bingley,1,0,0,0,0,1,2
37,Miss de Bourgh,1,0,0,0,0,1,2
37,Bromley,0,0,0,0,1,0,1
37,Dawson,0,0,0,0,1,0,1
37,Georgiana,0,0,0,0,1,0,1
37,John,0,0,0,0,1,0,1
37,Lady Anne,0,0,0,0,1,0,1
37,Ladyship,0,0,0,0,0,1,1
37,Meryton,0,0,0,0,0,1,1
37,Miss Bennet,0,0,0,0,0,1,1
37,Mrs. Bennet,0,0,0,0,1,0,1
37,Wickham,0,0,0,0,0,1,1
38,Elizabeth,10,2,6,1,2,8,29
38,Mr. Collins,3,1,5,5,0,3,17
38,Charlotte,3,0,4,0,1,2,10
38,Jane,3,0,2,0,0,3,8
38,Maria,2,1,0,3,0,2,8
38,Hunsford,2,0,0,0,2,0,4
38,Lady Catherine,2,0,0,0,2,0,4
38,Mrs. Collins,2,0,0,0,2,0,4
38,Bingley,0,0,0,0,0,1,1
