character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Pamela,3,0.0,0.01098901098901099,1.4628559952874866e-12,0.00364963503649635,1
Gabriel,3,0.0,0.20891106167179788,0.014170451291774466,0.0015025301074781602,1
Happy,3,0.0,0.20891106167179788,0.014170451291774466,0.0015025301074781602,1
Martyr,3,0.0,0.20891106167179788,0.014170451291774466,0.0015025301074781602,1
Grandison,3,0.0,0.01098901098901099,1.4628559952874866e-12,0.00364963503649635,1
Clarissa,3,0.0,0.01098901098901099,1.4628559952874866e-12,0.00364963503649635,1
Fata Morgana,3,0.0,0.27025796073415126,0.04980235821775674,0.000852512381695668,1
Cupid,3,0.0,0.27025796073415126,0.03854934503483341,0.0009656727268637079,1
Armida,3,0.0,0.26465675947541234,0.02540666812046816,0.0012430417425754094,1
Herr Stallmeister,3,0.0,0.26742803444374125,0.041100037820497294,0.0009953073977990979,3
Darius,3,0.0,0.2660351800976801,0.02670816126363835,0.001170104149379651,1
Old Meister,3,8.977950154420741e-06,0.26465675947541234,0.030085821633617713,0.0012110347305365084,19
Withal,3,3.6188045237819e-05,0.26812994529529965,0.03744849750421119,0.0010657785827834125,3
Cato,3,0.0,0.2660351800976801,0.02670816126363835,0.001170104149379651,1
Fate,3,0.004471019176901529,0.2660351800976801,0.033172565551699756,0.0018880859381758398,8
Homer,3,0.0,0.2063788063788064,0.02085075530895406,0.0010272216636593302,1
Sophocles,3,0.0,0.2660351800976801,0.03127258435470844,0.0010710760159382895,1
Raphael,3,0.0,0.2660351800976801,0.03127258435470844,0.0010710760159382895,1
the Melinas,3,0.0,0.27025796073415126,0.04980235821775674,0.000852512381695668,1
Jews,3,0.0,0.27025796073415126,0.04980235821775674,0.0010585240424095257,2
Pshaw,3,0.0,0.26534417962989393,0.03730774340501522,0.0009273871689533303,1
Adelbert,3,0.0,0.20891106167179788,0.02351489572375922,0.0010359702535661227,2
Mathilde,3,0.0,0.20891106167179788,0.02351489572375922,0.0010359702535661227,1
Koppen,3,0.0,0.26465675947541234,0.02540666812046816,0.0012430417425754094,1
"Jarno,--a",3,0.0,0.26742803444374125,0.0386565053627169,0.0009962211810953907,1
the Pedant,3,0.0,0.26742803444374125,0.0386565053627169,0.00114242051556705,2
Retsch,2,0.0,0.1877895388924801,0.0024653967379826996,0.0014285720586299012,1
HARRY CASTLEMON,2,2.6933850463262227e-05,0.007326007326007326,5.475179600530619e-16,0.005332171902318062,2
Jane Robins,2,2.6933850463262227e-05,0.007326007326007326,5.475179600530619e-16,0.005332171902318062,2
Kitty.=,2,0.0,0.1916651203705613,0.002277127733054772,0.001968527044311129,1
Valiska,2,0.0,0.26397289187986867,0.02568847053203197,0.0007670401523549793,3
Damon,2,0.0,0.26812994529529965,0.023847251202476164,0.0010461687608888063,1
THE ERRAND BOY,2,0.0,0.1905923678311738,0.0013938619775433888,0.0019290498511725157,1
an Agathon,2,0.0,0.26397289187986867,0.02568847053203197,0.0010871432663733644,12
APES,2,0.0,0.007326007326007326,1.4661614292375215e-14,0.0036496350364963502,1
Mooresses,2,0.0,0.26465675947541234,0.03307268423399477,0.000754641878451205,1
King Cambyses,2,0.0,0.26397289187986867,0.023838783649401292,0.001137645540049303,1
Faust,2,0.0,0.1877895388924801,0.0024653967379826996,0.0014285720586299012,3
Alice,2,0.00447101917690153,0.1472010218407913,0.00012605336839328983,0.0030592678301723133,3
Edna Lyall,2,2.6933850463262227e-05,0.007326007326007326,5.475179600530619e-16,0.005332171902318062,6
mein Herr,2,0.0,0.26465675947541234,0.03307268423399477,0.0012819416154463427,22
HARRY PRENTICE,2,0.0,0.007326007326007326,1.4661614292375215e-14,0.0036496350364963502,2
Sibyl,2,0.0,0.26465675947541234,0.03307268423399477,0.000754641878451205,9
Margaret,2,0.0,0.19991684766635842,0.014630224172184271,0.0007386611200400979,5
Rinaldo,2,0.0,0.26397289187986867,0.02421832253236503,0.0008428262371919131,2
Philip Garland,2,0.0,0.007326007326007326,1.4661614292375215e-14,0.0036496350364963502,1
Werther,2,0.0,0.26397289187986867,0.023838783649401292,0.001137645540049303,1
WILLIAM P. CHIPMAN,2,2.6933850463262227e-05,0.007326007326007326,5.475179600530619e-16,0.005332171902318062,2
