novel,graph_type,n_nodes,n_edges,density,degree_mean,degree_std,degree_max,degree_gini,degree_centralization,assortativity,clustering_avg,transitivity,avg_path_length,n_components,largest_component_frac,delta_max,delta_mean,delta_median,small_world_sigma,powerlaw_alpha,powerlaw_xmin
Love_and_Mr._Lewisham,cooccurrence,168,385,0.027445109780439122,4.583333333333333,9.519664276459961,100,0.5887291280148423,0.5782411081451555,-0.3360412057394461,0.5656723891953997,0.13612099644128114,2.3599116997792495,16,0.8988095238095238,1.0,0.073,0.0,4.753880608611048,1.950915122177694,1.0
Love_and_Mr._Lewisham,dialogue,22,40,0.17316017316017315,3.6363636363636362,4.040088371507086,20,0.4534090909090909,0.8571428571428571,-0.5123941774773129,0.5638888888888889,0.2631578947368421,1.878787878787879,1,1.0,0.5,0.0575,0.0,5.031359234674514,1.7123684480590748,1.0
Mansfield_Park,cooccurrence,200,1191,0.05984924623115578,11.91,18.5027538490896,141,0.6077078085642318,0.6552459266027105,-0.38532586784843537,0.7754517911422448,0.3088356729975227,2.1353940406571987,10,0.95,1.0,0.1235,0.0,3.433650502291003,1.6070137190602525,1.0
Mansfield_Park,dialogue,28,108,0.2857142857142857,7.714285714285714,5.592451180303823,19,0.4074074074074072,0.45014245014245013,-0.21744015180837775,0.6633177292509446,0.6036113499570077,1.939153439153439,1,1.0,1.0,0.1555,0.0,2.148832466639212,1.0903802647560155,1.0
Mary_Barton,cooccurrence,298,679,0.015343592524800578,4.557046979865772,11.012124221524022,132,0.6728163208824662,0.432000182000182,-0.3190066405841736,0.5013063786406537,0.1631517281780902,2.569765528589058,61,0.7416107382550335,0.5,0.1075,0.0,4.2784616013095045,2.0211059578628014,1.0
Mary_Barton,dialogue,52,109,0.08220211161387632,4.1923076923076925,5.498385992335393,31,0.5157021877205363,0.5466666666666666,-0.41861208445757003,0.5055546225211238,0.23015873015873015,2.4064856711915534,1,1.0,0.5,0.113,0.0,3.480643596486708,1.8633345692132506,1.0
Melmoth_the_Wanderer1,cooccurrence,179,454,0.028497897181595632,5.072625698324022,6.684450339850822,52,0.49805576747963465,0.2666158826890116,-0.19147063566710756,0.7069664572570292,0.34986320109439123,2.767496039511695,22,0.8212290502793296,1.0,0.1155,0.0,7.418881811558982,2.018928783438987,1.0
Melmoth_the_Wanderer1,dialogue,29,39,0.0960591133004926,2.689655172413793,2.214426808000321,10,0.3297966401414676,0.2804232804232804,-0.32240498512322463,0.25210727969348656,0.13138686131386862,2.896551724137931,1,1.0,1.0,0.1175,0.0,3.2616027764631643,1.8400895878766743,1.0
Melmoth_the_Wanderer2,cooccurrence,84,110,0.03155479059093517,2.619047619047619,4.168774976807484,35,0.531818181818182,0.3996473699676756,-0.24967709777297528,0.512625050020008,0.2444933920704846,2.2987974098057355,23,0.5595238095238095,0.5,0.0295,0.0,5.821703135262811,2.093669087114037,1.0
Melmoth_the_Wanderer2,dialogue,17,21,0.15441176470588236,2.4705882352941178,1.288758958835685,6,0.23809523809523814,0.25,-0.4000000000000007,0.08235294117647059,0.06666666666666667,2.7573529411764706,1,1.0,1.0,0.19,0.0,2.1919130434782605,1.8366927683530478,1.0
Melmoth_the_Wanderer3,cooccurrence,157,512,0.04180957047199085,6.522292993630574,9.39005164530078,51,0.643374303343949,0.28879239040529364,-0.009586936915704473,0.5623112313959608,0.6428351625807776,2.5829858215179318,34,0.7006369426751592,1.0,0.0925,0.0,3.397239258253293,1.6921695012710631,1.0
Melmoth_the_Wanderer3,dialogue,37,49,0.07357357357357357,2.6486486486486487,1.4559517406654736,8,0.2476558190843905,0.15714285714285714,-0.05012098167991705,0.12181467181467182,0.125,3.8843843843843846,1,1.0,1.5,0.244,0.0,2.6913706551306666,1.9548035402872659,1.0
Melmoth_the_Wanderer4,cooccurrence,197,628,0.03252874753962499,6.375634517766497,7.811290489743272,56,0.5221636651686121,0.25578231292517006,-0.2578485391085626,0.7352700840884225,0.34966972086085657,2.849721202230382,20,0.8730964467005076,1.0,0.1395,0.0,6.451847358225027,1.8051355477430027,1.0
Melmoth_the_Wanderer4,dialogue,38,66,0.09388335704125178,3.473684210526316,2.392277511023897,9,0.3361244019138756,0.15765765765765766,-0.21679342865835033,0.3094402673350042,0.22058823529411764,3.0398293029871977,1,1.0,1.5,0.2225,0.0,3.280054143100553,1.5799522955404148,1.0
Middlemarch,cooccurrence,678,3077,0.013407232149470812,9.076696165191741,19.98945193082354,243,0.6359573311552167,0.3465515282354278,-0.279295552320508,0.6988003550076559,0.16226787017572314,2.6289099108895,48,0.9174041297935103,1.0,0.1395,0.0,4.969139400491943,1.8820693255433343,1.0
Middlemarch,dialogue,136,398,0.04335511982570806,5.852941176470588,7.7426714987603775,46,0.5418083062370678,0.3018242122719735,-0.30179297698945456,0.5051298242666676,0.2072237017310253,2.696732026143791,1,1.0,1.0,0.182,0.0,3.456790075914935,1.8365907772255967,1.0
Miss_Marjoribanks,cooccurrence,198,1385,0.07101471568476644,13.98989898989899,21.89229602491073,172,0.582908507457244,0.8102662384750855,-0.4101277822944465,0.7967178984637386,0.2594324485398615,2.0001046572475145,2,0.98989898989899,1.0,0.0825,0.0,3.238918139354086,1.58360378501609,1.0
Miss_Marjoribanks,dialogue,52,160,0.12066365007541478,6.153846153846154,7.22544812393778,40,0.5213942307692307,0.6901960784313725,-0.41869053749302393,0.5601161303084379,0.29422548120989916,2.0935143288084466,1,1.0,1.0,0.1125,0.0,2.8859767048611955,1.6201463458518817,1.0
Mr._Midshipman_Easy,cooccurrence,242,757,0.0259593292411097,6.256198347107438,12.712347694054891,144,0.6389237638787295,0.5763139695712309,-0.2940198790186808,0.5889473854642033,0.18905366931542938,2.426966785134483,28,0.8842975206611571,0.5,0.095,0.0,3.8189528731701214,1.9173667355143387,1.0
Mr._Midshipman_Easy,dialogue,54,127,0.08874912648497554,4.703703703703703,6.792233117835644,44,0.49023038786818307,0.7699564586357039,-0.43459240449949293,0.6901001429425201,0.18356643356643357,2.143256464011181,1,1.0,0.5,0.0745,0.0,3.892569357877789,1.8563920024209701,1.0
New_Grub_Street,cooccurrence,232,701,0.026160620988207196,6.043103448275862,11.349002873850978,91,0.6548649712233754,0.3709768492377188,-0.3631789205775502,0.5248373395686098,0.23024464169733708,2.5555766043097323,25,0.8879310344827587,0.5,0.1255,0.0,3.7901665366259634,1.8703420100012556,1.0
New_Grub_Street,dialogue,31,83,0.17849462365591398,5.354838709677419,4.624956056263944,19,0.4527788573649436,0.4862068965517241,-0.33947538635063745,0.5786181843057905,0.4069264069264069,2.1118279569892473,1,1.0,1.0,0.152,0.0,2.811345109810208,1.537594132145223,1.0
North_and_South,cooccurrence,291,1053,0.02495556345538571,7.237113402061856,15.750703816190342,180,0.6717217702326523,0.5998568189953466,-0.35369859146436133,0.6018989684305256,0.1948481155072192,2.317966230316828,37,0.865979381443299,1.0,0.091,0.0,3.8654150216956586,1.8368298682329214,1.0
North_and_South,dialogue,71,158,0.0635814889336016,4.450704225352113,7.357641868850632,54,0.5494740595471563,0.7283643892339544,-0.4223148135340217,0.5826011272296036,0.16781516011349817,2.221327967806841,1,1.0,1.0,0.0735,0.0,4.286938854428689,1.7676058762227915,1.0
Old_Mortality,cooccurrence,738,3570,0.013127268314745562,9.674796747967479,16.908647873977632,242,0.5953291885860035,0.31608754645743614,-0.13966442857207537,0.7285951616120768,0.29187276044758076,2.9545149878979706,62,0.8888888888888888,1.0,0.149,0.0,6.782424457463027,1.8398927845375785,1.0
