novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
The_Invisible_Man,out_strength,10,F,0.11764705882352941,0.1,0.8500000000000001,-0.017647058823529405
The_Life_and_Adventures_of_Michael_Armstrong,out_strength,10,M,0.5483870967741935,0.5,0.911764705882353,-0.048387096774193505
The_Life_and_Adventures_of_Michael_Armstrong,out_strength,10,F,0.45161290322580644,0.5,1.1071428571428572,0.04838709677419356
The_Light_that_Failed,out_strength,10,M,0.6923076923076923,0.6,0.8666666666666667,-0.09230769230769231
The_Light_that_Failed,out_strength,10,F,0.3076923076923077,0.4,1.3,0.09230769230769231
The_Mayor_of_Casterbridge,out_strength,10,M,0.782608695652174,0.9,1.15,0.11739130434782608
The_Mayor_of_Casterbridge,out_strength,10,F,0.21739130434782608,0.1,0.46,-0.11739130434782608
The_Mill_on_the_Floss,out_strength,10,M,0.6268656716417911,0.7,1.1166666666666665,0.07313432835820888
The_Mill_on_the_Floss,out_strength,10,F,0.373134328358209,0.3,0.8039999999999999,-0.07313432835820899
The_Mysteries_of_London1,out_strength,10,M,0.7029702970297029,0.5,0.7112676056338029,-0.20297029702970293
The_Mysteries_of_London1,out_strength,10,F,0.297029702970297,0.5,1.6833333333333333,0.20297029702970298
The_Mysteries_of_London2,out_strength,10,M,0.6967213114754098,0.4,0.5741176470588235,-0.2967213114754098
The_Mysteries_of_London2,out_strength,10,F,0.30327868852459017,0.6,1.9783783783783784,0.2967213114754098
The_Mysteries_of_London3,out_strength,10,M,0.6639344262295082,0.7,1.054320987654321,0.0360655737704918
The_Mysteries_of_London3,out_strength,10,F,0.3360655737704918,0.3,0.8926829268292683,-0.0360655737704918
The_Mysteries_of_London4,out_strength,10,M,0.6747967479674797,0.6,0.889156626506024,-0.0747967479674797
The_Mysteries_of_London4,out_strength,10,F,0.3252032520325203,0.4,1.2300000000000002,0.0747967479674797
The_Odd_Women,out_strength,10,M,0.3023255813953488,0.3,0.9923076923076923,-0.0023255813953488302
The_Odd_Women,out_strength,10,F,0.6976744186046512,0.7,1.0033333333333332,0.0023255813953487747
The_Picture_of_Dorian_Gray,out_strength,10,M,0.6585365853658537,0.6,0.911111111111111,-0.05853658536585371
The_Picture_of_Dorian_Gray,out_strength,10,F,0.34146341463414637,0.4,1.1714285714285715,0.058536585365853655
The_Pirate,out_strength,10,M,0.75,0.7,0.9333333333333332,-0.050000000000000044
The_Pirate,out_strength,10,F,0.25,0.3,1.2,0.04999999999999999
The_Return_of_the_Native,out_strength,10,M,0.6428571428571429,0.7,1.0888888888888888,0.05714285714285705
The_Return_of_the_Native,out_strength,10,F,0.35714285714285715,0.3,0.84,-0.05714285714285716
The_Small_House_at_Allington,out_strength,10,M,0.675,0.4,0.5925925925925926,-0.275
The_Small_House_at_Allington,out_strength,10,F,0.325,0.6,1.846153846153846,0.27499999999999997
The_Story_of_a_Modern_Woman,out_strength,10,M,0.56,0.6,1.0714285714285714,0.039999999999999925
The_Story_of_a_Modern_Woman,out_strength,10,F,0.44,0.4,0.9090909090909092,-0.03999999999999998
Trilby,out_strength,10,M,0.6808510638297872,0.5,0.734375,-0.18085106382978722
Trilby,out_strength,10,F,0.3191489361702128,0.5,1.5666666666666667,0.18085106382978722
Vanity_Fair_1847,out_strength,10,M,0.55625,0.5,0.898876404494382,-0.05625000000000002
Vanity_Fair_1847,out_strength,10,F,0.44375,0.5,1.1267605633802817,0.05625000000000002
Vivian_Grey,out_strength,10,M,0.8,0.5,0.625,-0.30000000000000004
Vivian_Grey,out_strength,10,F,0.2,0.5,2.5,0.3
Waverley,out_strength,10,M,0.7659574468085106,0.8,1.0444444444444445,0.03404255319148941
Waverley,out_strength,10,F,0.23404255319148937,0.2,0.8545454545454546,-0.034042553191489355
Westward_Ho!,out_strength,10,M,0.8536585365853658,0.9,1.0542857142857143,0.04634146341463419
Westward_Ho!,out_strength,10,F,0.14634146341463414,0.1,0.6833333333333335,-0.04634146341463413
A_Tale_of_Two_Cities,pagerank,10,M,0.7419354838709677,0.7,0.9434782608695651,-0.041935483870967794
A_Tale_of_Two_Cities,pagerank,10,F,0.25806451612903225,0.3,1.1625,0.04193548387096774
Adam_Bede,pagerank,10,M,0.620253164556962,0.6,0.9673469387755103,-0.020253164556962022
