novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
Esther_Waters,out_strength,10,F,0.39344262295081966,0.5,1.2708333333333333,0.10655737704918034
Guy_Mannering,out_strength,10,M,0.7,0.8,1.142857142857143,0.10000000000000009
Guy_Mannering,out_strength,10,F,0.3,0.2,0.6666666666666667,-0.09999999999999998
Hard_Cash,out_strength,10,M,0.7583333333333333,0.6,0.7912087912087912,-0.15833333333333333
Hard_Cash,out_strength,10,F,0.24166666666666667,0.4,1.6551724137931034,0.15833333333333335
Hard_Times,out_strength,10,M,0.5769230769230769,0.6,1.04,0.023076923076923106
Hard_Times,out_strength,10,F,0.4230769230769231,0.4,0.9454545454545455,-0.02307692307692305
Jack_Sheppard,out_strength,10,M,0.8166666666666667,0.7,0.8571428571428571,-0.1166666666666667
Jack_Sheppard,out_strength,10,F,0.18333333333333332,0.3,1.6363636363636365,0.11666666666666667
Jude_the_Obscure,out_strength,10,M,0.5714285714285714,0.6,1.05,0.02857142857142858
Jude_the_Obscure,out_strength,10,F,0.42857142857142855,0.4,0.9333333333333335,-0.028571428571428525
Lady_Audley's_Secret,out_strength,10,M,0.575,0.5,0.8695652173913044,-0.07499999999999996
Lady_Audley's_Secret,out_strength,10,F,0.425,0.5,1.1764705882352942,0.07500000000000001
Love_and_Mr._Lewisham,out_strength,10,M,0.8,0.8,1.0,0.0
Love_and_Mr._Lewisham,out_strength,10,F,0.2,0.2,1.0,0.0
Mansfield_Park,out_strength,10,M,0.46153846153846156,0.4,0.8666666666666667,-0.06153846153846154
Mansfield_Park,out_strength,10,F,0.5384615384615384,0.6,1.1142857142857143,0.06153846153846154
Mary_Barton,out_strength,10,M,0.5882352941176471,0.4,0.68,-0.18823529411764706
Mary_Barton,out_strength,10,F,0.4117647058823529,0.6,1.457142857142857,0.18823529411764706
Melmoth_the_Wanderer3,out_strength,10,M,0.625,0.7,1.1199999999999999,0.07499999999999996
