character,radius,mentions,degree_centrality,eigenvector,pagerank
Don Gregorio Montilla,0.7972374634811605,2,0.03669724770642202,0.031666216883209794,0.003924403120445227
Isidora?--and,0.7957676341561333,1,0.03669724770642202,0.031666216883209794,0.003924403120445227
Another,0.8291042285937437,1,0.009174311926605505,0.009866485799859645,0.001903275079488476
Sixtus,0.9742263570678927,2,0.027522935779816515,0.0040069561302615506,0.0028747348396280905
Abraham,0.9854029324736717,34,0.14678899082568808,0.01600650994501257,0.023340578562448103
Antonio,0.9792948836344241,2,0.045871559633027525,0.012341667832269587,0.005699352294822882
Solomon,0.9793523619609099,37,0.1651376146788991,0.016975326347532765,0.02372030259642941
The Messias,0.9772570712187317,1,0.03669724770642202,0.012184578349319547,0.004774287981368915
"God,--or",0.9767617104081794,1,0.027522935779816515,0.011421210736368197,0.0038605029841378823
Moses,0.9820505971425072,3,0.045871559633027525,0.012173811308418783,0.005716098916409722
The Suprema,0.9150120005957189,1,0.01834862385321101,0.011077301123618773,0.003007748879762265
Don Fernan,0.9637483131381877,19,0.06422018348623854,0.014023038539145112,0.007735168067082235
Grenada,0.975989352027381,1,0.03669724770642202,0.0121255834102455,0.004682146614637738
Maria,0.9907489693454706,3,0.10091743119266056,0.013969088025271331,0.013060395443324473
THALABA,0.9789637551702016,51,0.05504587155963303,0.010968142677268476,0.013144619436668347
SENECA,0.9446707714877455,15,0.027522935779816515,0.012177636221495435,0.004487128473252298
Zion,0.9421627014535318,1,0.01834862385321101,0.010708628273397885,0.003297277439600868
Grant,0.9574762414334208,1,0.027522935779816515,0.01121245951544873,0.0044442657044231155
Mohammed,0.9586235542543973,2,0.027522935779816515,0.011212459515448733,0.0044442657044231155
St Dominic,0.9567012008119734,3,0.03669724770642202,0.01227987092709256,0.0054547285281937
Spirit,0.7962430485733784,1,0.009174311926605505,0.010166371146262558,0.002025872906550048
Cheops,0.9792870330490506,1,0.009174311926605505,0.0004883996721537776,0.0032261414625168834
Sampson,0.9809638943869101,1,0.009174311926605505,0.0004883996721537776,0.0032261414625168834
Satan,0.989236376319313,1,0.01834862385321101,0.0005111611310601102,0.0056114986771598945
the Saviour,0.9895235051326484,1,0.01834862385321101,0.0005111611310601068,0.0056114986771598945
Nazarene,0.9628482214502135,1,0.009174311926605505,0.0015344213021496536,0.0024235158035887626
Leah,0.9803606852533795,7,0.03669724770642202,0.0025142260409554,0.005809515143594685
"Solomon the Jew , whose misfortune in harbouring me had exposed him to the visit of the Inquisitors",0.9793202226181568,1,0.03669724770642202,0.002514226040955324,0.005809515143594685
Zachariah,0.9789819667028439,1,0.03669724770642202,0.0025142260409553186,0.005809515143594685
Boy,0.9847152161006476,1,0.01834862385321101,0.0016060740829391615,0.004469980729240501
Israel,0.9864019650043913,3,0.027522935779816515,0.0016091286864643034,0.007222276482330707
Father?”--But,0.9865135583313388,1,0.009174311926605505,0.0007558931413265413,0.002280265970764179
Rebekah,0.9918470509367493,25,0.09174311926605505,0.003684896646490493,0.014481637204003313
"Antonio,--Rebekah,--no",0.9934169494127294,1,0.06422018348623854,0.002602406079728836,0.007671945178407312
Belial,0.9934101976117216,2,0.06422018348623854,0.002602406079728836,0.007671945178407312
"Manasseh,--I",0.9933525359345449,1,0.06422018348623854,0.002602406079728864,0.007671945178407312
the Benjamite,0.9935465284214026,1,0.06422018348623854,0.002602406079728864,0.007671945178407312
Hilkiah,0.9745329767547846,1,0.027522935779816515,0.0024952661626504724,0.004130058821679654
Madrid,0.9946743626895309,1,0.01834862385321101,0.0008768372920119546,0.0031058207503550503
the Cadi,0.9440962060874801,1,0.009174311926605505,0.000910929977356284,0.0023455123368485804
Dr Coke,0.9902633910913973,1,0.009174311926605505,7.165278078950787e-05,0.0034101012892881017
St Bruno,0.993696336057217,1,0.027522935779816515,0.00048007160795566356,0.007167074828695886
St Lucia,0.9937456389588433,1,0.027522935779816515,0.0004800716079556566,0.007167074828695886
St Ursula,0.994061257398182,2,0.027522935779816515,0.0004800716079556358,0.007167074828695886
