character,radius,mentions,degree_centrality,eigenvector,pagerank
James the Sixth,0.7954545583589938,1,0.012987012987012988,0.03067532373439286,0.001193377534733709
"John Knox,--from John Knox",0.7234973346664606,2,0.021645021645021644,0.04237676868623308,0.0019118952080526331
a Gallio,0.5982394722236365,1,0.006493506493506494,0.02920908628153196,0.0006870736194362393
Mr. Putler,0.7760522112911697,12,0.015151515151515152,0.03786548063183547,0.0019717074276518827
Meiklehose,0.7028274918181866,5,0.006493506493506494,0.02920908628153196,0.0009360415568233793
Sir Donald Gorme of Sleat,0.7007207827189332,3,0.015151515151515152,0.044104399788651175,0.00147182352797647
Elizabeth Melvil,0.9148062120663948,3,0.017316017316017316,0.026760631293520323,0.0015047829108477398
John Caird,0.9177086475648195,1,0.017316017316017316,0.02676063129352032,0.0015047829108477398
Lady Culross,0.9130997924987182,1,0.017316017316017316,0.026760631293520302,0.0015047829108477398
Lady Robertland,0.9054900684291897,1,0.017316017316017316,0.026760631293520323,0.0015047829108477398
Lundie,0.9031830175927286,1,0.017316017316017316,0.026760631293520343,0.0015047829108477398
Mr. John Scrimgeour,0.885509257631885,14,0.030303030303030304,0.041241422723203296,0.002765310007159049
Aily MacClure of Deepheugh,0.8396545384493348,2,0.010822510822510822,0.02830619871035779,0.001084161980069736
Marjory Kittlesides,0.8321455097777606,1,0.010822510822510822,0.02830619871035779,0.001084161980069736
Rory MacRand,0.8602005119704446,1,0.010822510822510822,0.028306198710357805,0.001084161980069736
Captain Duncan,0.8467902470854977,9,0.004329004329004329,0.016655447403074054,0.000577233740820581
Ailie MacClure of Deepheugh,0.7682030701753227,2,0.004329004329004329,0.015931244586827882,0.0006056495746530667
Doric,0.3847557796625908,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
Catullus,0.3093429738708077,1,0.004329004329004329,0.02416111738121132,0.0005507430589254296
Marrucinus Asinius,0.41858399966556437,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
the Amalekites,0.5463054634428616,1,0.015151515151515152,0.04260126658287185,0.0011762335109435354
Fortune,0.8355299963508924,2,0.006493506493506494,0.024068140922357158,0.0010989588536457736
Mrs. MacCorkindale,0.3432708661135139,1,0.008658008658008658,0.024794760773293716,0.0008298250343781195
Mrs. Putler,0.8391711456756172,12,0.023809523809523808,0.039805656794000895,0.002988825849388297
Ellis,0.8404608979805447,3,0.015151515151515152,0.034327454125065375,0.0013633809206470317
Mr. ------,0.8251591842346715,3,0.006493506493506494,0.02566402662419799,0.0007162467658817944
Bedreddin Hassan,0.4342175256182286,3,0.006493506493506494,0.028765659326168192,0.0006708528804957028
Bent,0.39621965602654324,1,0.006493506493506494,0.030666850136874074,0.0006669440766955231
Knocktarlitie,0.4292316016215904,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
Master Tavie,0.685939109342884,1,0.008658008658008658,0.024433105668341674,0.000838835483109331
Rateliffe,0.41119104547899904,7,0.008658008658008658,0.026945994710450036,0.0010205460702626921
Lady Staunton.--Pull,0.4498853075133864,1,0.0021645021645021645,0.014273435049762181,0.00043810568204909965
Claymore,0.5921210499462463,1,0.008658008658008658,0.03047003967682064,0.0007912466799739671
Euphemia Butler,0.3669188208737586,6,0.006493506493506494,0.02347609884197449,0.0006789712974912916
Hecate,0.9157246650230615,1,0.004329004329004329,0.008206681941253718,0.0007803725368770503
Mammie,0.9120514342355271,2,0.004329004329004329,0.00820668194125371,0.0007803725368770503
Tom of Lincoln,0.9188490195898903,1,0.006493506493506494,0.009529709728950893,0.0008614485441845275
Tyburn Neddie,0.9146083498755374,3,0.008658008658008658,0.011550585743711768,0.0011644198978161195
Ecod,0.8909310360579858,1,0.004329004329004329,0.009956733767644055,0.0005808205792970796
"Jeanie,--""try",0.7108252593575478,1,0.0021645021645021645,0.007847380663074863,0.00044875083375933266
Apollyon,0.7523681621179371,1,0.0021645021645021645,0.007847380663074863,0.00044875083375933266
Snap,0.7747394094349319,1,0.0021645021645021645,0.007847380663074863,0.00044875083375933266
Mummer,0.7450674978792311,1,0.0021645021645021645,0.007847380663074863,0.00044875083375933266
Measter,0.9643576244405424,13,0.006493506493506494,0.010241109702717117,0.0015224314427946927
Gaffer Gibbs,0.9191355764182411,2,0.004329004329004329,0.009321909771686003,0.0006171884351197079
Macheath,0.6945513634800753,1,0.006493506493506494,0.020604114997401543,0.0006832060413881193
HELEN WALKER,0.8387998231331949,4,0.008658008658008658,0.016625532369800303,0.001078201137216819
Tyburn Tom,0.9136031211809945,1,0.006493506493506494,0.010412614184664526,0.0008103966713840737
the accomplice Thomas Tuck,0.9225012316413528,4,0.006493506493506494,0.010412614184664529,0.0008103966713840737
Dr. Fleming,0.6920929520987171,1,0.004329004329004329,0.013827787883363987,0.000558243968737515
Hieland sowens,0.8391872437318313,1,0.004329004329004329,0.01019492094264606,0.0007735600530429188
Mr. Duncan MacDonought,0.843101128092677,1,0.004329004329004329,0.010194920942646058,0.0007735600530429188
Judah,0.7158925101132857,1,0.006493506493506494,0.015880966670007664,0.0006893403464818517
gudeman,0.5214968875260804,1,0.006493506493506494,0.013835680526746401,0.0007318919141123348
the Laird of Lickpelf,0.44713215469437106,1,0.0021645021645021645,0.00974857147378075,0.0004448420299591531
Prelacy,0.485688630222487,3,0.0021645021645021645,0.00974857147378075,0.0004448420299591531
Francis Gordon,0.9291074685801908,37,0.025974025974025976,0.026988900628241143,0.0032790458641950206
Patrick Walker,0.8737434108326638,61,0.0735930735930736,0.06011766880531099,0.008329977298814436
Logan,0.5001230250346855,7,0.0021645021645021645,0.00974857147378075,0.0004448420299591531
Lachlan,0.7031537620042828,1,0.004329004329004329,0.014935651231769783,0.000572942019460574
The Campbells,0.45375265440042967,1,0.0021645021645021645,0.00974857147378075,0.0004448420299591531
the prudent Mr. Meiklehose,0.4797155187988266,1,0.004329004329004329,0.014494093301001997,0.0005568035073413947
John the Baptist,0.9082322891781195,1,0.008658008658008658,0.014764471485086151,0.0009716169471036505
Richard Cameron,0.9181804455524171,2,0.015151515151515152,0.017856788470757758,0.0017352129412736184
King James,0.8837475502515763,3,0.006493506493506494,0.012947477008203012,0.0008452966924330564
Montgomery of Skelmorley,0.8961893784125712,1,0.006493506493506494,0.012947477008203007,0.0008452966924330564
Mrs. Staunton,0.7666565422994502,3,0.004329004329004329,0.009404373002574648,0.0005551222955155731
Sir William Staunton,0.5452272246753241,1,0.0021645021645021645,0.0059804072202891264,0.0004334672170516166
Mr. Butler.--I,0.8449025846736314,1,0.006493506493506494,0.013327789408093907,0.0006801372284615909
Ephraim Buckskin,0.6129399939490021,3,0.006493506493506494,0.015637617745567583,0.0007783217841057238
the Thistle,0.6365335329800667,1,0.006493506493506494,0.015637617745567576,0.0007783217841057238
John Livingstone,0.7786128448363712,8,0.015151515151515152,0.02455768608380091,0.0013013118767800673
Wooler,0.7866009732087806,1,0.015151515151515152,0.024557686083800902,0.0013013118767800673
"Jeanie.--""Can",0.5370205884130661,1,0.0021645021645021645,0.009887682331449134,0.0004366114589497641
"Jeanie,--I",0.5290764361592427,1,0.0021645021645021645,0.009887682331449134,0.0004366114589497641
Woggarwolfe,0.5236043805059327,1,0.006493506493506494,0.017747247194229737,0.0006846777634605384
the Manse,0.7978609887135181,1,0.008658008658008658,0.016431877434206068,0.0008173733544954676
Leddy Staunton,0.7647571679719807,5,0.012987012987012988,0.026846154398535806,0.0011830604920640574
"MacCallummore,--Well",0.322772062015284,1,0.0021645021645021645,0.006038440620173923,0.0004426562748545602
Rosa Solis,0.46775320181060026,1,0.004329004329004329,0.011103736848336968,0.0005638723131276944
Mrs. Deans?--Lud,0.91840756913366,2,0.006493506493506494,0.006617926846618543,0.0010215217009005616
Sir William Wallace,0.9172207914270434,2,0.006493506493506494,0.006617926846618546,0.0010215217009005616
the English,0.9108450721504869,2,0.006493506493506494,0.0066179268466185475,0.0010215217009005616
Roseneath,0.3288718304349212,1,0.004329004329004329,0.01105447742229625,0.0005623649424224993
Duncan Archibald,0.39206240527597785,2,0.004329004329004329,0.01105447742229625,0.0005623649424224993
Chatellain,0.7484024864874281,1,0.0021645021645021645,0.005187079757989031,0.0004520740715748551
Trojan,0.9128919012615261,1,0.004329004329004329,0.005424576123601921,0.0007861147981359064
Tyrian,0.9053003238949063,1,0.004329004329004329,0.005424576123601917,0.0007861147981359064
Knockdunder!'--And,0.8434330949320923,1,0.006493506493506494,0.008605472459742776,0.0008172458836075973
Sassenach,0.8302350327305628,1,0.006493506493506494,0.00860547245974277,0.0008172458836075973
Hesper,0.781356034848065,1,0.0021645021645021645,0.005187079757989031,0.0004520740715748551
Lady,0.8374332061098984,3,0.004329004329004329,0.006929833220011034,0.0005857316903784947
mooch petter,0.8532012841905026,1,0.008658008658008658,0.01010329702054864,0.0009066208052165545
Dear Reuben,0.9369640024401843,1,0.004329004329004329,0.005668600416999826,0.0007976255264173875
March,0.9556186335782726,21,0.012987012987012988,0.013779871913355606,0.002484881233802085
Sergeant More Cameron,0.9518378488938593,1,0.004329004329004329,0.005518094331595689,0.0006429408306025468
_ Rob Roy,0.9636148858757859,2,0.015151515151515152,0.011168555071372783,0.0016751546185596769
Feckless Fannie,0.9897971210893635,85,0.023809523809523808,0.003178196425780825,0.005137383464688451
Mr. Train,0.9902075220663975,26,0.021645021645021644,0.0031723486824179773,0.004631586221561392
King Charles,0.9806807926469363,2,0.004329004329004329,0.0001394141200156755,0.0013475619189719443
Cromek,0.9879004130992819,4,0.008658008658008658,0.0009253942991284787,0.0012917252917864085
Lowe,0.9879223306906165,1,0.008658008658008658,0.0009253942991284803,0.0012917252917864085
Mary,0.9542559250986763,7,0.01948051948051948,0.013860686439621683,0.002311368028915494
Charlie,0.9936568392626547,3,0.008658008658008658,0.0003035461740655594,0.0018770500839950252
Kenneth,0.9934539027368412,1,0.006493506493506494,0.0002913264483686094,0.0010647487045318755
William Forsyth,0.9941414974203291,1,0.006493506493506494,0.0002913264483686094,0.0010647487045318755
Maria of Sterne,0.9851019823168689,1,0.008658008658008658,0.002476157087211904,0.0012402258268732792
Handle Dandie,0.872322948239701,1,0.008658008658008658,0.010586909071988277,0.0008683711878915459
Dandie Dinmont,0.9629457507344318,1,0.010822510822510822,0.006118927232152617,0.001273308489200222
_ Dougal,0.9675477255561665,1,0.010822510822510822,0.00611892723215262,0.001273308489200222
_ Guy Mannering,0.9656861011550169,1,0.010822510822510822,0.006118927232152621,0.001273308489200222
the Tolbooth,0.8353364042928425,2,0.006493506493506494,0.009510071909275533,0.0007322349578630352
Nane,0.9436139872556285,1,0.004329004329004329,0.004675531584559595,0.0006468313065176984
Captain Hackum,0.9525172548129651,1,0.015151515151515152,0.010395808893957923,0.0014909243649658455
Lady Colgrain 's gudeman,0.9510070452686068,1,0.015151515151515152,0.010395808893957912,0.0014909243649658455
Saint Clair,0.9542261135341019,1,0.015151515151515152,0.010395808893957923,0.0014909243649658455
the twa Shaws,0.9501548342102968,1,0.015151515151515152,0.010395808893957926,0.0014909243649658455
young Singlesword,0.952432599528893,1,0.015151515151515152,0.01039580889395793,0.0014909243649658455
Mr. Jack - Sauce,0.9467445418720516,1,0.004329004329004329,0.004458781861392322,0.0006052324537215253
