CHAPTER,CHARACTER,N,DC,DN,A,C,I,FID,B
18,Lord Ingram,2,0,0,1,1,0,0,0
18,Mrs. Eshton,4,0,0,2,2,0,0,0
18,Sir George Lynn,2,0,1,1,0,0,0,0
18,Lady Ingram,6,1,0,2,6,2,0,0
19,Jane,8,58,0,46,64,49,1,0
19,Gipsy/Sibyl,0,9,6,35,41,15,0,0
19,Grace Poole,3,2,0,0,0,0,0,0
19,Mr. Rochester,15,29,2,19,31,10,0,0
19,Blanche Ingram,2,3,0,3,0,1,0,0
19,Mr. Mason,9,8,1,2,0,0,0,0
19,Colonel Dent,1,0,0,0,0,0,0,0
19,Mrs. Colonel Dent,1,0,0,0,0,0,0,0
20,Jane,24,45,1,75,26,34,9,0
20,Mr. Mason,25,39,9,22,16,10,0,1
20,Mr. Rochester,30,10,5,87,76,17,0,1
20,Colonel Dent,2,0,0,0,2,0,0,0
20,Driver,0,0,0,2,0,0,0,0
20,Blanche Ingram,3,2,0,1,2,0,0,0
20,Pilot (dog),1,0,0,1,0,0,0,0
20,Bertha Mason,0,11,6,0,0,0,0,0
20,Grace Poole,3,3,0,0,0,0,0,0
20,Surgeon,6,9,0,6,7,1,0,0
20,Amy Eshton,1,1,0,0,0,0,0,0
20,Louisa Eshton,1,1,0,0,0,0,0,0
20,Mrs. Fairfax,1,0,0,1,0,0,0,0
21,Jane,22,61,1,123,72,95,0,7
21,Bessie,25,12,4,25,6,2,0,0
21,Martha,1,0,0,0,0,0,0,2
21,Helen Burns,1,0,0,0,0,0,0,0
21,Mrs. Fairfax,2,0,0,1,0,1,0,0
21,Robert L,6,5,2,6,9,0,0,0
21,Mr. Brocklehurst,1,0,0,1,0,0,0,0
21,Mrs. Reed,15,44,7,38,27,42,0,2
21,Georgiana Reed,22,16,7,25,4,10,0,0
21,John Reed,10,20,0,1,0,0,0,0
21,John Eyre (uncle),1,2,0,0,1,0,0,0
21,Eliza Reed,13,3,10,31,6,19,0,0
21,The doctor,0,0,0,2,0,1,0,0
21,Aunt Gibson,1,1,0,0,0,0,0,0
21,Lord Edwin,1,1,0,0,0,0,0,0
21,Jane's mother,0,1,0,0,0,0,0,0
21,John Reed,1,0,0,1,0,0,0,0
21,John's wife,0,0,0,1,0,0,0,0
21,Mr. Reed,5,14,0,0,0,0,0,0
21,The hired nurse,0,1,1,2,0,0,0,0
21,Mr. Rochester,11,7,3,14,42,10,0,0
21,Blanche Ingram,4,2,2,5,2,3,0,0
21,Sir George Lynn,1,0,0,1,0,0,0,0
21,Lord Ingram,1,0,0,1,0,0,0,0
21,Adele,3,4,0,0,0,0,0,0
22,Jane,5,19,1,38,14,63,6,0
22,Georgiana Reed,5,3,0,6,0,2,0,0
22,Eliza Reed,5,3,0,17,3,5,0,0
22,Mr. Rochester,10,7,2,18,10,9,0,0
22,Mrs. Fairfax,8,4,1,5,0,4,0,0
22,Mr. Gibson,1,0,0,2,0,0,0,0
22,Mrs. Reed,1,1,0,0,0,0,0,0
22,Blanche Ingram,2,2,0,0,0,0,0,0
22,Adele,4,1,0,2,0,2,0,0
22,Leah (housemaid),1,0,0,1,0,0,0,0
22,Sophie,1,0,0,0,1,0,0,0
23,Adele,5,3,0,5,0,0,0,0
23,Jane,30,58,1,63,47,72,0,0
23,Mr. Rochester,16,26,1,58,62,34,0,0
23,Mrs. Fairfax,2,1,0,3,0,3,0,0
23,Blanche Ingram,6,9,0,0,0,0,0,0
23,Mrs. Dionysius O'Gall,2,1,0,0,0,0,0,0
24,Jane,27,97,6,73,65,131,0,0
24,Mr. Rochester,22,81,8,70,74,15,1,3
24,Mrs. Fairfax,6,2,1,17,8,32,0,0
24,Adele,20,15,0,11,12,7,0,0
24,John Eyre (uncle),2,0,0,0,0,0,0,0
24,Celine,2,2,0,0,0,0,0,0
24,Mrs. Reed,1,0,0,0,0,0,0,0
24,Pilot (dog),1,0,0,1,0,0,0,0
24,Blanche Ingram,5,8,0,1,0,6,0,0
25,Jane,28,42,0,87,46,120,3,0
25,Mr. Rochester,8,22,3,29,51,22,0,0
25,Mesroux,1,0,0,0,0,0,0,0
25,Pilot (dog),1,0,0,1,0,0,0,0
25,John Reed,1,0,0,1,0,0,0,0
25,Adele,3,2,1,1,0,0,0,0
25,Mrs. Fairfax,2,2,0,0,0,0,0,0
25,Sophie,8,5,0,3,0,0,0,0
25,Richard Mason,1,1,0,0,0,0,0,0
25,Leah (housemaid),1,1,0,0,0,0,0,0
25,Grace Poole,2,3,0,0,0,0,0,0
26,Sophie,2,0,0,3,1,0,0,0
26,Adele,1,0,0,1,0,0,0,0
26,Leah (housemaid),1,0,0,1,0,0,0,0
26,Mr. Rochester,26,6,12,44,32,23,0,4
26,Jane,5,6,8,33,2,40,2,0
26,A footman,0,2,0,0,4,0,0,0
26,John Reed,2,2,0,0,0,0,0,0
26,Mr. Wood,10,7,0,9,8,2,0,0
26,The clerk (John Greer),1,2,0,2,0,0,0,0
26,The coachman,0,1,0,0,0,0,0,0
26,Mrs. Fairfax,2,0,0,2,0,0,0,0
26,Briss,14,4,1,4,14,3,0,0
26,Bertha Mason,4,21,3,15,0,0,0,1
26,John Eyre (uncle),6,9,0,1,0,1,0,0
26,Richard Mason,20,12,0,5,5,3,0,0
26,Grace Poole,12,2,0,3,5,0,0,0
27,Jane,56,131,13,111,61,130,2,0
27,Mr. Rochester,13,28,8,91,60,144,0,0
27,Adele,12,14,0,0,0,0,0,0
27,Bertha Mason,3,40,0,5,0,2,0,0
27,Mrs. Fairfax,6,3,0,1,0,1,0,0
27,Grace Poole,4,4,0,0,0,0,0,0
27,Mr. Rochester's father,0,9,0,0,0,4,0,0
27,Rowland Rochester,1,4,0,0,0,0,0,0
27,Mr. Mason,2,2,0,0,0,0,0,0
27,Richard Mason,1,4,0,0,0,0,0,0
27,Mr. Carter (the surgeon),1,1,0,0,0,0,0,0
27,Giacinta,2,3,0,0,0,0,0,0
27,Blanche Ingram,1,1,0,0,0,0,0,0
27,Celine Varens,2,3,0,0,0,0,0,0
27,Clara,2,4,0,0,0,0,0,0
27,Mesrour,1,1,0,0,0,0,0,0
27,The driver,0,0,0,5,0,0,0,0
28,Coachman,0,0,0,2,0,0,0,0
28,Jane,0,26,43,155,34,105,13,0
28,Mr. Rochester,4,1,1,0,0,0,0,0
28,The woman (in shop),,3,2,6,9,3,0,0
28,A young woman,0,0,2,1,2,0,0,0
28,An old woman (housekeeper),0,0,0,1,5,0,0,0
28,Mr. Oliver,2,2,0,0,0,0,0,0
28,St. John Rivers,9,14,0,6,13,1,0,0
28,The farmer,0,0,0,6,0,1,0,0
28,“A little girl”,0,1,1,1,1,0,0,0
28,The mother of “a little girl”,0,0,0,0,1,0,0,0
28,“An elderly woman”,12,8,4,11,21,5,0,0
28,Diana Rivers,6,13,5,6,8,4,0,0
28,Mary Rivers,5,10,3,6,5,1,0,0
28,Mr. Rivers,0,5,0,0,0,0,0,0
28,Mrs. Rivers,0,2,0,0,0,0,0,0
29,Jane,0,61,17,43,36,41,0,0
29,Hannah,9,10,3,32,21,8,0,0
29,Diana Rivers,16,1,4,15,12,1,0,0
29,Mary Rivers,9,1,2,3,3,0,0,0
29,St. John Rivers,20,17,12,28,18,8,0,0
29,Mr. Rivers,2,5,0,0,0,0,0,0
29,Mrs. Rivers,0,3,0,0,0,0,0,0
29,Mr. Bill Oliver,1,1,0,0,0,0,0,0
29,Mr. Brocklehurst,2,2,0,0,0,0,0,0
30,Jane,2,25,4,22,14,48,0,0
30,Diana Rivers,14,0,3,8,5,5,0,0
30,Mary Rivers,12,0,2,7,2,0,0,0
30,St. John Rivers,14,8,21,38,22,41,0,0
30,Carlo (dog),1,0,0,1,0,0,0,0
30,Mr. Rochester,0,0,1,0,0,0,0,0
30,Hannah,2,1,0,1,0,0,0,0
30,Miss Oliver,1,1,0,1,0,0,0,0
30,Mr. Oliver,1,1,0,0,0,0,0,0
30,John Eyre (uncle),1,8,0,0,0,0,0,0
30,Mr. Rivers,0,3,0,0,0,0,0,0
30,Mrs. Rivers,0,1,0,0,0,0,0,0
31,Jane,0,13,3,27,8,55,2,0
31,Little orphan/handmaid,1,2,0,0,0,0,0,0
31,Mr. Rochester,1,0,0,0,0,5,0,0
31,St. John Rivers,10,11,10,27,13,30,0,6
31,Mr. Rivers,0,1,0,0,0,1,0,0
31,Diana Rivers,2,1,0,2,1,0,0,0
31,Mary Rivers,1,1,0,1,0,0,0,0
31,Mr. Oliver,2,5,0,0,0,0,0,0
31,Miss Rosamond Oliver,3,1,10,23,13,8,0,0
31,Carlo (dog),5,2,2,3,0,1,0,0
32,Jane,0,24,1,40,23,77,0,0
32,Mr. Rochester,1,0,0,0,0,0,0,0
32,Adele,1,0,0,0,0,0,0,0
32,Mr. Oliver,6,0,2,5,0,0,0,0
32,Alice Ward,0,0,0,2,0,1,0,0
32,Miss Rosamond Oliver,18,21,8,19,3,32,1,0
32,St. John Rivers,11,25,3,52,25,83,0,0
33,St. John Rivers,17,30,7,52,64,35,0,2
33,Jane,0,42,4,36,51,110,6,4
33,Diana Rivers,10,10,2,1,0,1,0,0
33,Mr. Briggs,9,8,0,10,0,2,0,0
33,Mrs. Fairfax,1,1,0,0,0,0,0,0
33,John Eyre (uncle),4,4,1,3,0,0,0,0
33,Mary Rivers,9,9,2,0,0,0,0,0
33,Jane's father,0,3,0,2,0,1,0,0
33,Jane's mother,1,2,0,2,0,0,0,0
33,Mr. Rochester,10,15,2,2,0,0,0,0
33,Mary Garrett's mother,1,0,0,0,0,0,0,0
33,Mary Garrett,1,1,0,0,0,0,0,0
33,Mr. Oliver,2,3,0,2,0,1,0,0
33,Miss Rosamond Oliver,1,3,0,0,0,0,0,0
33,Mrs. Reed,2,2,0,0,0,0,0,0
33,Hannah,2,2,0,0,0,0,0,0
33,Mrs. Rivers,1,3,0,0,0,0,0,0
34,Jane,20,67,11,87,46,201,1,0
34,St. John Rivers,36,36,13,119,52,133,2,0
34,Hannah,12,6,1,6,3,1,0,0
34,The driver,0,0,0,2,0,0,0,0
34,Carlo (dog),2,0,0,1,0,1,0,0
34,Diana Rivers,18,3,1,9,5,5,0,0
34,Mary,12,3,1,5,1,2,0,0
34,Miss Rosamond Oliver,3,2,0,0,0,0,0,0
34,Mr. Granby,1,1,0,0,0,0,0,0
34,Sir Frederic Granby,2,2,0,1,0,0,0,0
34,Mr. Oliver,1,1,0,0,0,0,0,0
34,Mr. Rochester,3,2,0,0,0,0,0,0
34,Mr. Briggs,2,0,0,0,0,1,0,0
34,Mrs. Fairfax,1,0,0,0,0,0,0,0
35,St. John Rivers,16,41,13,52,19,73,0,0
35,Jane,12,40,6,36,33,93,2,0
35,Mr. Rochester,2,3,0,1,0,2,0,0
35,Diana Rivers,8,0,1,10,13,7,0,0
35,Mary Rivers,2,1,0,2,0,1,0,0
36,Jane,2,20,3,60,37,0,2,0
36,St. John Rivers,2,1,0,5,1,3,0,0
36,Diana Rivers,1,0,0,1,0,0,0,0
36,Mary Rivers,1,0,0,0,0,0,0,0
36,The ostler,0,0,0,0,1,0,0,0
36,Mr. Rochester,15,40,0,19,0,11,0,0
36,Host of the inn,0,2,1,7,21,5,0,0
36,Mr. Rochester's father,1,2,0,0,0,0,0,0
36,Bertha Mason,3,17,0,16,0,0,0,0
36,Leah (housemaid),2,1,0,1,0,1,0,0
36,Grace Poole,2,2,1,1,0,0,0,0
36,Mrs. Fairfax,1,0,1,0,0,0,0,0
36,Adele,1,1,0,1,0,0,0,0
36,Mr. Carter (the surgeon),1,1,0,1,0,0,0,0
36,John Reed,1,1,0,0,0,0,0,0
36,John's wife,0,1,0,0,0,0,0,0
37,Jane,58,98,0,110,94,99,2,0
37,Mr. Rochester,11,49,6,95,116,124,0,0
37,Mr. Rochester's father,0,0,0,1,0,0,0,1
37,John (servant),5,2,0,3,1,1,0,0
37,Mary (John’s wife),8,9,0,12,4,1,0,0
37,Host of the inn,0,0,0,0,1,0,0,0
37,Pilot (dog),7,2,0,9,0,3,0,0
37,John Eyre (uncle),5,2,0,3,1,1,0,0
37,St. John Rivers,11,63,0,6,0,8,0,0
37,Miss Rosamond Oliver,1,1,0,0,0,0,0,0
38,Jane,2,6,1,24,3,18,0,0
38,Mr. Rochester,8,7,0,13,3,13,0,0
38,Parson,0,0,0,1,0,0,0,0
38,Clerk,0,0,0,1,0,0,0,0
38,Mary (John’s wife),4,1,1,6,2,0,0,0
38,John (servant),5,1,1,4,1,5,0,1
38,Diana Rivers,3,1,0,3,0,2,0,0
38,Mary (John’s wife),2,0,0,2,0,1,0,0
38,Mr. Wharton,0,0,1,0,0,1,0,0
38,St. John Rivers,1,0,4,9,2,19,0,0
38,Adele,1,0,2,6,0,6,0,0
